altura,ano,cambio,car_price,carroceria,combustivel,comprimento,consumo,cor,direcao,entre_eixos,km_andado,largura,marca_carro,motorizacao,nome_carro,ocupantes,peso,porta_malas,tanque,url,velocidade_maxima
1702.0,2022/2023,Automática,122490.0,SUV,Flex,4268.0,,Branco,Elétrica,2570.0,36.086,1805.0,Jeep,1.3,Jeep Renegade,5.0,1468.0,320.0,55.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/jeep/renegade/2023/longitude-t270-1-3-turbo-4x2/detalhes/9736015?page=detail&sort=0,208.0
1590.0,2022/2022,Automática,99990.0,SUV,Flex,4310.0,11.4,Azul,Elétrica,2610.0,49.014,1760.0,Nissan,1.6,Nissan Kicks,5.0,1136.0,432.0,41.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/nissan/kicks/2022/advance-1-6/detalhes/9736396?page=detail&sort=0,175.0
1508.0,2022/2022,Manual,72990.0,Sedan,Flex,4364.0,,Branco,Elétrica,2521.0,41.708,1726.0,Fiat,1.3,Fiat Cronos,5.0,1139.0,525.0,48.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/fiat/cronos/2022/drive-1-3/detalhes/9775757?page=detail&sort=0,183.0
1470.0,2022/2022,Manual,63990.0,Hatch,Diesel,3940.0,13.1,Cinza,Elétrica,2530.0,48.492,1720.0,Hyundai,1.0,Hyundai HB20,5.0,990.0,300.0,50.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/hyundai/hb20/2022/1-0-sense-flex/detalhes/9775852?page=detail&sort=0,158.0
1702.0,2022/2023,Automática,117990.0,SUV,Flex,4268.0,,Prata,Elétrica,2570.0,44.742,1805.0,Jeep,1.3,Jeep Renegade,5.0,1468.0,320.0,55.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/jeep/renegade/2023/longitude-t270-1-3-turbo-4x2/detalhes/9779446?page=detail&sort=0,208.0
1626.0,2022/2023,Automática,128190.0,SUV,Flex,4270.0,,Vermelho,Elétrica,2570.0,24.213,1791.0,Chevrolet,1.2,Chevrolet Tracker,5.0,1271.0,393.0,44.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/chevrolet/tracker/2023/premier-1-2-turbo-aut/detalhes/9780606?page=detail&sort=0,185.0
1503.0,2022/2022,Manual,62290.0,Hatch,Flex,3998.0,,Prata,Elétrica,2521.0,58.586,1724.0,Fiat,1.0,Fiat Argo,5.0,1105.0,300.0,48.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/fiat/argo/2022/drive-1-0-flex/detalhes/9782260?page=detail&sort=0,157.0
1508.0,2022/2022,Manual,70990.0,Sedan,Flex,4364.0,,Prata,Elétrica,2521.0,63.389,1726.0,Fiat,1.3,Fiat Cronos,5.0,1139.0,525.0,48.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/fiat/cronos/2022/drive-1-3/detalhes/9782441?page=detail&sort=0,183.0
1626.0,2022/2023,Automática,125090.0,SUV,Flex,4270.0,,Prata,Elétrica,2570.0,43.939,1791.0,Chevrolet,1.2,Chevrolet Tracker,5.0,1271.0,393.0,44.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/chevrolet/tracker/2023/premier-1-2-turbo-aut/detalhes/9782874?page=detail&sort=0,185.0
1455.0,2022/2023,Automática,131490.0,Sedan,Flex,4630.0,12.3,Preto,Elétrica,2700.0,36.219,1780.0,Toyota,2.0,Toyota Corolla,5.0,1410.0,470.0,50.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/toyota/corolla/2023/xei-2-0-flex/detalhes/9783107?page=detail&sort=0,205.0
1608.0,2022/2022,Manual,75990.0,Picapes,Flex,4474.0,11.9,Branco,Hidráulica,2737.0,28.0,1732.0,Fiat,1.4,Fiat Strada,2.0,1078.0,1354.0,55.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/fiat/strada/2022/endurance-1-4-cs/detalhes/10709898?page=detail&sort=0,157.0
1502.0,2019/2020,Manual,51990.0,Hatch,Flex,3566.0,12.7,Prata,Suspensão,2305.0,53.286,1633.0,Fiat,1.0,Fiat Mobi,5.0,933.0,215.0,47.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/fiat/mobi/2020/like-1-0-flex/detalhes/10754452?page=detail&sort=0,161.0
