id,endereco,valor,area,iptu,condominio,quarto,vaga,banheiro,url,bairro,tipo,area_servico,espaco_gourmet,piscina,elevador,salao_de_festa,academia,playground,quadra_de_esporte,portaria_24_horas,varanda_gourmet,sauna,spa,comercio,bairro_completo,latitude,longitude,z_lat,z_lon
2636388471,"Centro, Rio Branco",360000,64,NA,NA,2,1,1,https://www.zapimoveis.com.br/venda/apartamentos/ac+rio-branco++centro/?pagina=1,centro,apartamentos,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,centro,-9.9696487,-67.8248029,-0.24314054133971663,0.23226692184737233
2617656385,"Estrada do Calafate, Calafate",240000,360,NA,NA,0,0,0,https://www.zapimoveis.com.br/venda/terrenos-lotes-condominios/ac+rio-branco++calafate/?pagina=1,calafate,terrenos_lotes_condominio,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,calafate,-9.9802553,-67.8922322,-0.2995994459915665,0.15118503808251885
2619328690,"Rua Floriano Peixoto, Centro",600000,590,NA,0,0,0,0,https://www.zapimoveis.com.br/venda/terrenos-lotes-condominios/ac+rio-branco++centro/?pagina=1,centro,terrenos_lotes_comerciais,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,centro,-9.9720655,-67.8128632,-0.25600516155378517,0.2466240836092051
2612640688,"Doca Furtado, Rio Branco",680000,184,NA,NA,3,NA,3,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++doca-furtado/?pagina=1,doca_furtado,casas,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,doca furtado,-9.9692848,-67.834468,-0.24120350257113782,0.2206449041966447
2612640690,"Doca Furtado, Rio Branco",120000,361,NA,NA,0,0,0,https://www.zapimoveis.com.br/venda/terrenos-lotes-condominios/ac+rio-branco++doca-furtado/?pagina=1,doca_furtado,terrenos_lotes_condominio,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,doca furtado,-9.9692848,-67.834468,-0.24120350257113782,0.2206449041966447
2627498367,"Rua América, Jardim America",300000,264,NA,NA,3,2,2,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++jd-america/?pagina=1,jd_america,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,jardim america,-9.9546564,-67.8267869,-0.16333656681328365,0.22988121626552496
2633395891,"Jardim Brasil, Rio Branco",260000,250,NA,NA,2,NA,1,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++jd-brasil/?pagina=1,jd_brasil,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,jardim brasil,-9.9698082,-67.7350921,-0.24398955943146147,0.3401416982138968
2616525115,"Rua C, Loteamento Santa Helena",440000,483,NA,NA,3,4,4,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++lot-sta-helena/?pagina=1,lot_sta_helena,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,loteamento santa helena,-10.0147716,-67.7963006,-0.48332962254529727,0.2665401558217859
2617471932,"Morada do Sol, Rio Branco",430000,178,NA,NA,3,NA,3,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++morada-do-sol/?pagina=1,morada_do_sol,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,morada do sol,-10.0067609,-67.8223465,-0.44068868694910246,0.23522067547198314
2624488865,"Raimundo Melo, Rio Branco",300000,278,800,NA,3,1,2,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++raimundo-melo/?pagina=1,raimundo_melo,casas,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,raimundo melo,-10.0329448,-67.7956981,-0.5800655196300429,0.2672646455461087
2636158560,"Sao Francisco, Rio Branco",600000,147,NA,NA,3,2,1,https://www.zapimoveis.com.br/venda/casas-de-condominio/ac+rio-branco++s-francisco/?pagina=1,s_francisco,casas_de_condominio,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,sao francisco,-10.1091853,-67.3518243,-0.9858935059885138,0.8010107152496772
2614936406,"Vila Ivonete, Rio Branco",600000,277,NA,NA,4,2,5,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++vl-ivonete/?pagina=1,vl_ivonete,casas,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,vila ivonete,-9.9501155,-67.8243002,-0.13916536773596178,0.23287140480905907
2624478005,"Vila Ivonete, Rio Branco",340000,250,NA,NA,4,NA,1,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++vl-ivonete/?pagina=1,vl_ivonete,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,vila ivonete,-9.9501155,-67.8243002,-0.13916536773596178,0.23287140480905907
2600433855,"Vila Ivonete, Rio Branco",680000,300,NA,NA,2,NA,1,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++vl-ivonete/?pagina=1,vl_ivonete,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,vila ivonete,-9.9501155,-67.8243002,-0.13916536773596178,0.23287140480905907
2635915762,"Xavier Maia, Rio Branco",445000,282,NA,NA,3,NA,4,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++xavier-maia/?pagina=1,xavier_maia,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,xavier maia,-9.9326224,-67.8179748464997,-0.046049641210456876,0.24047746889815744
2599102798,"Xavier Maia, Rio Branco",350000,230,NA,NA,3,2,3,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++xavier-maia/?pagina=1,xavier_maia,casas,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,xavier maia,-9.9326224,-67.8179748464997,-0.046049641210456876,0.24047746889815744
2624490732,"Xavier Maia, Rio Branco",400000,292,NA,NA,2,NA,1,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++xavier-maia/?pagina=1,xavier_maia,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,xavier maia,-9.9326224,-67.8179748464997,-0.046049641210456876,0.24047746889815744
2624701360,"Rua Manoel Cassiano, Bosque",250000,323,NA,NA,2,3,1,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++bosque/?pagina=1,bosque,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bosque,-9.9620675,-67.8430475,-0.20278583314418988,0.21032829076954038
2597971071,"Rua Paraná, Bosque",650000,206,NA,NA,2,2,1,https://www.zapimoveis.com.br/venda/casas/ac+rio-branco++bosque/?pagina=1,bosque,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bosque,-9.9620675,-67.8430475,-0.20278583314418988,0.21032829076954038
